id,epoch,z0,z1,width,height,Ug,gp,thickness_roofA,thickness_construction_Structure,thickness_construction_Insulation,energy
0,100,1.1173053,-0.5189002,3.1829972,1.3327028,0.70596546,0.5346066,0.18965709,0.15787885,0.26402473,47374.19
1,100,0.40262553,-1.775888,3.1764886,1.3211185,0.94406295,0.6010612,0.1797202,0.1590518,0.22136208,47010.492
2,100,0.81786186,0.23820019,3.2371542,1.170377,0.9655299,0.6326597,0.218566,0.17957647,0.23714721,47166.1
3,100,0.27560067,1.4350494,2.904707,1.3040082,0.95134014,0.58710545,0.2171928,0.19326998,0.23136272,47405.79
4,100,0.5210649,-0.57578796,2.9742205,1.3542423,1.0453455,0.62616634,0.1792742,0.16853158,0.20238218,47168.207
5,100,-0.23929659,-0.24679355,3.2272143,1.1746087,0.95324486,0.62588143,0.20817949,0.16712795,0.24137683,47101.83
6,100,1.922942,1.4805148,3.2021036,1.140899,0.9682101,0.6029457,0.24195549,0.19563255,0.24711718,47363.297
7,100,0.49869028,1.0479722,3.1124673,1.2401217,0.94268036,0.57854944,0.23125504,0.19384888,0.2337681,47386.89
8,100,0.91722155,-0.057042867,2.9910622,1.3184263,0.964464,0.6046847,0.19965667,0.18390554,0.22679608,47220.17
9,100,-0.589229,-0.44846502,2.6973574,1.3808486,0.97556674,0.6169189,0.18102968,0.15991758,0.22508939,47188.5
10,100,1.6002678,-0.18883479,2.7457588,1.33622,0.9369528,0.6106232,0.1891068,0.15761265,0.23397633,47228.016
11,100,1.0289356,-0.07228701,2.7212286,1.3496115,0.946219,0.6124489,0.18777047,0.15747872,0.23280805,47214.85
12,100,0.61407936,0.9222067,3.1693668,1.3303422,0.83581,0.5586329,0.18114787,0.15983954,0.25288376,47134.887
13,100,0.69153875,0.6947491,3.145026,1.2919388,0.7711247,0.57097065,0.18948737,0.15800036,0.25505725,47276.035
14,100,-0.86886257,0.6563907,3.0948348,1.3432825,1.0081428,0.6229685,0.17728198,0.16396067,0.21170977,46994.516
15,100,1.2605689,-0.100393504,2.9736881,1.197756,0.63970304,0.54037744,0.21156031,0.15690154,0.27620554,47759.926
16,100,-2.2555642,-1.0225068,3.0253658,1.3436244,1.0215719,0.6229905,0.1806551,0.16941114,0.21429062,47039.18
17,100,-1.1731234,1.9436212,3.1772275,1.3120943,0.92722285,0.6090671,0.17995405,0.15915678,0.23127061,46964.33
18,100,-1.808144,0.41133425,3.1708858,1.3249972,0.9651447,0.6173254,0.17725784,0.15943734,0.22453308,46926.1
19,100,-0.16137354,1.7944489,3.2392359,1.0466559,0.92916673,0.632113,0.24001509,0.17601454,0.2654912,47278.117
20,100,-0.790523,-0.9073001,2.7435017,1.1736381,0.7622494,0.5537938,0.21428955,0.15840335,0.26759973,47750.504
21,100,1.966764,-0.19623396,2.9560304,1.3385104,1.0059795,0.6171411,0.18953888,0.17884168,0.22150338,47140.797
22,100,-1.6263219,-0.13482246,3.2572258,1.1016684,0.9642159,0.64200366,0.23199412,0.18503138,0.24575727,47248.895
23,100,-0.813596,-0.5216415,3.209846,1.0897284,0.89671123,0.62384176,0.23227209,0.16857238,0.2646475,47228.766
24,100,-0.03926799,-0.9489328,3.300705,1.0065898,1.0143051,0.65743405,0.24858612,0.19401939,0.27268094,47215.312
25,100,-0.90876323,-0.42431763,3.211208,1.386201,0.48430878,0.45835534,0.20780757,0.15581621,0.2927309,48008.85
26,100,-0.9228233,-1.4513385,3.2003846,1.3254806,0.9583373,0.6163157,0.17673782,0.15942079,0.22475693,46915.086
27,100,-0.033319283,-1.5308034,3.1026871,1.3179849,0.9572642,0.60495865,0.19221659,0.17641999,0.22602645,47107.53
28,100,0.13157398,-1.40556,2.9240782,1.3594056,1.0594043,0.6280606,0.17971502,0.16991268,0.19707397,47257.125
