id,z0,z1,Q_H,area_S,area_E,area_W,area_N,g_perp_S,g_perp_E,g_perp_W,g_perp_N,u_value_S,u_value_E,u_value_W,u_value_N
1,0.19112186,-0.04499154,173.6771489034252,9.137149,12.860933,10.133892,10.294558,0.47062278,0.49736443,0.50488824,0.48776934,0.48222822,0.53670466,0.4784302,0.5872867
2,0.8205791,1.0488468,176.55677201515851,6.919019,12.619684,9.59778,11.478003,0.46818367,0.44766447,0.5100397,0.5056889,0.58742344,0.6134248,0.5585007,0.6285401
3,-1.1384362,-0.021585116,171.1270935546243,8.620466,13.907318,10.399834,9.230526,0.45554718,0.5172989,0.5645568,0.47777635,0.4388516,0.41459486,0.42558667,0.5215866
4,0.4254331,-0.83723277,172.08035094547944,10.820833,13.099169,9.43481,9.517372,0.50146246,0.49528283,0.48440686,0.5011121,0.40122813,0.51648647,0.4346904,0.5767613
5,-1.7594602,1.415798,174.73500129968258,6.1909494,13.7954035,11.119815,11.449113,0.45228076,0.44421417,0.5748361,0.34047556,0.51091534,0.54524636,0.4176287,0.52692014
6,-0.53870785,0.29459888,172.86244089627743,8.303643,13.080519,10.649103,10.013046,0.46673688,0.5118877,0.5402214,0.4686037,0.4816341,0.50033677,0.4730192,0.5457436
7,0.38027146,-1.0556746,171.55602142000814,11.1534395,13.31313,9.372311,9.200162,0.50885105,0.494874,0.48271847,0.5081729,0.38649243,0.5076878,0.4207168,0.5711628
8,0.40667573,0.69929415,175.19909551193462,7.5672083,12.738323,10.2133465,11.257074,0.48080248,0.47437862,0.5152007,0.49744117,0.5564029,0.5844326,0.52016944,0.60868335
9,-3.08036,0.21723576,170.4836839566617,7.274842,15.689114,10.735459,8.849495,0.36330974,0.46538818,0.6129758,0.3952612,0.41077626,0.30314186,0.3014225,0.49772558
10,-0.7912426,1.2913381,174.84449899798366,6.3721185,13.178506,11.0354805,11.632224,0.49530587,0.47005746,0.5590507,0.40688634,0.5443731,0.5831825,0.4789619,0.55971414
11,-0.059894167,1.782239,176.60895233626087,5.843139,12.883668,10.561637,12.181783,0.52408653,0.42243406,0.5586435,0.43615595,0.61456174,0.63935035,0.52071965,0.61652523
12,-1.5633246,0.9777678,173.52818459677312,6.829112,13.826294,10.836565,10.699964,0.45488435,0.47264385,0.5730339,0.37749648,0.48441854,0.50084466,0.42936856,0.51559514
